x,y,z,yaw,mps,change_flag
0.1922,0.1521,0.0000,0.0312,4.7377,0
2.1912,0.2144,0.0000,0.0315,4.7994,0
4.1901,0.2774,0.0000,0.0315,4.7999,0
6.1890,0.3404,0.0000,0.0313,4.7996,0
8.1879,0.4030,0.0000,0.0308,4.7991,0
10.1869,0.4647,0.0000,0.0303,4.7989,0
12.1859,0.5252,0.0000,0.0299,4.7993,0
14.1849,0.5851,0.0000,0.0298,4.7998,0
16.1839,0.6447,0.0000,0.0299,4.7998,0
18.1829,0.7046,0.0000,0.0303,4.7993,0
20.1820,0.7651,0.0000,0.0308,4.7989,0
22.1809,0.8267,0.0000,0.0316,4.7984,0
24.1799,0.8900,0.0000,0.0325,4.7983,0
26.1787,0.9549,0.0000,0.0332,4.7986,0
28.1776,1.0212,0.0000,0.0337,4.7990,0
30.1764,1.0885,0.0000,0.0340,4.7994,0
32.1751,1.1565,0.0000,0.0341,4.7997,0
34.1739,1.2247,0.0000,0.0341,4.7999,0
36.1726,1.2929,0.0000,0.0339,4.7996,0
38.1714,1.3606,0.0000,0.0334,4.7991,0
40.1701,1.4275,0.0000,0.0328,4.7987,0
42.1689,1.4930,0.0000,0.0319,4.7982,0
44.1678,1.5568,0.0000,0.0307,4.7977,0
46.1668,1.6182,0.0000,0.0294,4.7972,0
48.1659,1.6769,0.0000,0.0277,4.7968,0
50.1651,1.7324,0.0000,0.0261,4.7968,0
52.1644,1.7847,0.0000,0.0270,4.7982,0
54.1637,1.8387,0.0000,0.0318,4.7904,0
56.1627,1.9024,0.0000,0.0400,4.7838,0
58.1612,1.9823,0.0000,0.0026,4.7252,0
60.1558,1.9874,0.0000,-0.1827,4.4294,0
62.1077,1.6267,0.0000,-0.8067,3.5521,0
63.4536,0.2222,0.0000,-1.8175,2.7784,0
62.9850,-1.6389,0.0000,-2.2830,3.8690,0
61.6845,-3.1452,0.0000,-2.4123,4.5415,0
60.1952,-4.4763,0.0000,-2.4789,4.6667,0
58.6157,-5.7089,0.0000,-2.5325,4.6928,0
56.9769,-6.8519,0.0000,-2.5876,4.6898,0
55.2797,-7.9018,0.0000,-2.6449,4.6854,0
53.5229,-8.8539,0.0000,-2.7091,4.6718,0
51.7051,-9.6931,0.0000,-2.7989,4.6204,0
49.8224,-10.3648,0.0000,-2.9032,4.5914,0
47.8822,-10.8363,0.0000,-2.9950,4.6164,0
45.9095,-11.1277,0.0000,-3.0647,4.6605,0
43.9198,-11.2809,0.0000,-3.1066,4.7163,0
41.9201,-11.3509,0.0000,-3.1207,4.7718,0
39.9173,-11.3927,0.0000,-3.1160,4.7907,0
37.9161,-11.4439,0.0000,-3.1112,4.7904,0
35.9167,-11.5046,0.0000,-3.1087,4.7949,0
33.9183,-11.5703,0.0000,-3.1084,4.7995,0
31.9206,-11.6366,0.0000,-3.1104,4.7960,0
29.9229,-11.6989,0.0000,-3.1147,4.7915,0
27.9248,-11.7526,0.0000,-3.1209,4.7877,0
25.9256,-11.7941,0.0000,-3.1052,4.7687,0
23.9252,-11.8670,0.0000,-3.0100,4.6096,0
21.9437,-12.1293,0.0000,-2.5905,3.9611,0
20.2719,-13.1568,0.0000,-2.1210,3.8609,0
19.2320,-14.8521,0.0000,-1.7534,4.0648,0
18.8759,-16.7809,0.0000,-1.2655,3.8243,0
19.4775,-18.6899,0.0000,-0.9709,4.2107,0
20.6007,-20.3318,0.0000,-0.5869,4.0321,0
22.2514,-21.4297,0.0000,-0.3797,4.3856,0
24.1091,-22.1710,0.0000,-0.3567,4.7540,0
25.9835,-22.8695,0.0000,-0.3642,4.7849,0
27.8512,-23.5816,0.0000,-0.3647,4.7991,0
29.7215,-24.2956,0.0000,-0.3769,4.7756,0
31.5759,-25.0297,0.0000,-0.5576,4.4387,0
33.2734,-26.0882,0.0000,-1.0628,3.7895,0
34.2276,-27.8023,0.0000,-1.2958,4.3341,0
34.7727,-29.7340,0.0000,-1.3298,4.7319,0
35.2494,-31.6735,0.0000,-1.3290,4.7984,0
35.7279,-33.6138,0.0000,-1.3265,4.7949,0
36.2118,-35.5544,0.0000,-1.3263,4.7996,0
36.6961,-37.4954,0.0000,-1.3281,4.7962,0
37.1768,-39.4373,0.0000,-1.3304,4.7956,0
37.6531,-41.3799,0.0000,-1.3321,4.7964,0
38.1258,-43.3231,0.0000,-1.3335,4.7972,0
38.5958,-45.2668,0.0000,-1.3345,4.7981,0
39.0640,-47.2109,0.0000,-1.3351,4.7989,0
39.5310,-49.1553,0.0000,-1.3352,4.7997,0
39.9978,-51.0999,0.0000,-1.3347,4.7991,0
