x,y,z,yaw,mps,change_flag,
0.4824,1.3072,0.0000,-0.0165,1.9500,0.0000,0.0000,0.0000
2.2034,1.2789,0.0000,0.0266,2.2800,0.0000,0.0000,0.0000
4.1298,1.3302,0.0000,0.0603,2.4900,0.0000,0.0000,0.0000
6.1751,1.4536,0.0000,0.1282,2.6300,0.0000,0.0000,0.0000
8.3858,1.7386,0.0000,0.1987,2.9200,0.0000,0.0000,0.0000
10.4983,2.1640,0.0000,0.2873,3.1900,0.0000,0.0000,0.0000
13.0401,2.9151,0.0000,0.3655,3.4300,0.0000,0.0000,0.0000
15.8849,4.0038,0.0000,0.4720,3.6100,0.0000,0.0000,0.0000
18.3964,5.2860,0.0000,0.5827,3.7600,0.0000,0.0000,0.0000
20.6516,6.7723,0.0000,0.6781,3.8500,0.0000,0.0000,0.0000
22.5150,8.2734,0.0000,0.7589,4.0400,0.0000,0.0000,0.0000
23.7212,9.4173,0.0000,0.7670,4.2700,0.0000,0.0000,0.0000
25.0125,10.6621,0.0000,0.7856,4.5700,0.0000,0.0000,0.0000
26.7016,12.3519,0.0000,0.8207,4.8800,0.0000,0.0000,0.0000
28.0614,13.8113,0.0000,0.8068,5.1200,0.0000,0.0000,0.0000
29.5225,15.3364,0.0000,0.8412,5.3300,0.0000,0.0000,0.0000
30.9758,16.9617,0.0000,0.8378,5.5700,0.0000,0.0000,0.0000
32.4960,18.6502,0.0000,0.8434,5.7600,0.0000,0.0000,0.0000
34.0661,20.4137,0.0000,0.8602,5.9100,0.0000,0.0000,0.0000
35.6305,22.2317,0.0000,0.8527,5.9100,0.0000,0.0000,0.0000
37.2105,24.0401,0.0000,0.8432,5.8400,0.0000,0.0000,0.0000
38.7844,25.8076,0.0000,0.8356,5.7700,0.0000,0.0000,0.0000
40.3614,27.5514,0.0000,0.8363,5.7100,0.0000,0.0000,0.0000
41.9169,29.2737,0.0000,0.8126,5.5800,0.0000,0.0000,0.0000
43.4639,30.9073,0.0000,0.7993,5.4100,0.0000,0.0000,0.0000
44.9721,32.4582,0.0000,0.7625,5.2100,0.0000,0.0000,0.0000
46.4889,33.9070,0.0000,0.7220,5.0100,0.0000,0.0000,0.0000
48.0231,35.2580,0.0000,0.6776,4.9400,0.0000,0.0000,0.0000
49.9340,36.7959,0.0000,0.6014,4.8000,0.0000,0.0000,0.0000
51.5279,37.8896,0.0000,0.5425,4.6700,0.0000,0.0000,0.0000
53.4755,39.0637,0.0000,0.4709,4.5600,0.0000,0.0000,0.0000
55.1251,39.9036,0.0000,0.4237,4.5000,0.0000,0.0000,0.0000
57.1528,40.8181,0.0000,0.3982,4.4300,0.0000,0.0000,0.0000
58.8019,41.5117,0.0000,0.3917,4.3600,0.0000,0.0000,0.0000
60.8041,42.3386,0.0000,0.3993,4.3000,0.0000,0.0000,0.0000
62.7974,43.1797,0.0000,0.4263,4.2200,0.0000,0.0000,0.0000
64.3528,43.8860,0.0000,0.4757,4.1800,0.0000,0.0000,0.0000
66.1951,44.8351,0.0000,0.5210,4.1100,0.0000,0.0000,0.0000
67.6258,45.6562,0.0000,0.5882,4.0800,0.0000,0.0000,0.0000
69.6825,47.0279,0.0000,0.6503,4.0400,0.0000,0.0000,0.0000
70.9766,48.0122,0.0000,0.7109,4.0100,0.0000,0.0000,0.0000
72.8103,49.5913,0.0000,0.7942,3.9700,0.0000,0.0000,0.0000
74.7615,51.5772,0.0000,0.9206,3.9100,0.0000,0.0000,0.0000
76.6463,54.0555,0.0000,1.0510,3.8400,0.0000,0.0000,0.0000
78.1670,56.7131,0.0000,1.1939,3.7600,0.0000,0.0000,0.0000
79.2785,59.5214,0.0000,1.3438,3.7100,0.0000,0.0000,0.0000
79.9418,62.3934,0.0000,1.5076,3.6700,0.0000,0.0000,0.0000
80.1379,65.4935,0.0000,1.6589,3.6700,0.0000,0.0000,0.0000
79.8956,68.2358,0.0000,1.7962,3.6700,0.0000,0.0000,0.0000
79.3161,70.7633,0.0000,1.9328,3.6800,0.0000,0.0000,0.0000
78.2701,73.5256,0.0000,2.0754,3.7000,0.0000,0.0000,0.0000
76.8411,76.1131,0.0000,2.2112,3.7100,0.0000,0.0000,0.0000
75.0629,78.4993,0.0000,2.3463,3.7000,0.0000,0.0000,0.0000
72.9801,80.6237,0.0000,2.4890,3.7000,0.0000,0.0000,0.0000
70.6159,82.4307,0.0000,2.6332,3.6800,0.0000,0.0000,0.0000
68.0161,83.8796,0.0000,2.7743,3.6600,0.0000,0.0000,0.0000
65.2550,84.9419,0.0000,2.9138,3.6500,0.0000,0.0000,0.0000
62.3882,85.6064,0.0000,3.0395,3.6400,0.0000,0.0000,0.0000
59.4842,85.9041,0.0000,-3.1266,3.6100,0.0000,0.0000,0.0000
56.5835,85.8607,0.0000,-3.0078,3.5900,0.0000,0.0000,0.0000
53.7353,85.4773,0.0000,-2.8799,3.5700,0.0000,0.0000,0.0000
50.9866,84.7411,0.0000,-2.7406,3.5200,0.0000,0.0000,0.0000
48.3900,83.6403,0.0000,-2.5987,3.4900,0.0000,0.0000,0.0000
46.0057,82.2015,0.0000,-2.4624,3.4400,0.0000,0.0000,0.0000
43.8680,80.4757,0.0000,-2.3219,3.4200,0.0000,0.0000,0.0000
42.0138,78.4897,0.0000,-2.1869,3.3700,0.0000,0.0000,0.0000
40.4605,76.2958,0.0000,-2.0772,3.3300,0.0000,0.0000,0.0000
39.1657,73.9615,0.0000,-2.0113,3.2800,0.0000,0.0000,0.0000
38.0446,71.5833,0.0000,-1.9545,3.2500,0.0000,0.0000,0.0000
37.0660,69.1590,0.0000,-1.9190,3.2000,0.0000,0.0000,0.0000
36.1760,66.7073,0.0000,-1.8895,3.1900,0.0000,0.0000,0.0000
35.3631,64.2438,0.0000,-1.8660,3.1800,0.0000,0.0000,0.0000
34.6156,61.7854,0.0000,-1.8534,3.1700,0.0000,0.0000,0.0000
33.9019,59.3278,0.0000,-1.8573,3.1500,0.0000,0.0000,0.0000
33.1814,56.8822,0.0000,-1.8935,3.1200,0.0000,0.0000,0.0000
32.3827,54.4939,0.0000,-1.9628,3.1500,0.0000,0.0000,0.0000
31.4111,52.1437,0.0000,-2.0579,3.1800,0.0000,0.0000,0.0000
30.2061,49.8685,0.0000,-2.1775,3.2100,0.0000,0.0000,0.0000
28.7382,47.7532,0.0000,-2.3351,3.2500,0.0000,0.0000,0.0000
26.9332,45.8703,0.0000,-2.5210,3.3400,0.0000,0.0000,0.0000
24.7209,44.2889,0.0000,-2.7280,3.5300,0.0000,0.0000,0.0000
22.0404,43.1125,0.0000,-2.9104,3.8800,0.0000,0.0000,0.0000
19.7183,42.5658,0.0000,-3.0167,4.1000,0.0000,0.0000,0.0000
18.0540,42.3568,0.0000,-3.0891,4.2900,0.0000,0.0000,0.0000
16.2978,42.2645,0.0000,-3.1404,4.4600,0.0000,0.0000,0.0000
14.4743,42.2623,0.0000,3.1119,4.6400,0.0000,0.0000,0.0000
12.5653,42.3190,0.0000,3.1022,4.8300,0.0000,0.0000,0.0000
10.5759,42.3973,0.0000,3.0958,4.9900,0.0000,0.0000,0.0000
8.5350,42.4908,0.0000,3.0996,5.1600,0.0000,0.0000,0.0000
6.4180,42.5797,0.0000,3.0996,5.3800,0.0000,0.0000,0.0000
4.2077,42.6727,0.0000,3.1018,5.5700,0.0000,0.0000,0.0000
1.9245,42.7635,0.0000,3.1014,5.7200,0.0000,0.0000,0.0000
-0.4197,42.8577,0.0000,3.0934,5.8800,0.0000,0.0000,0.0000
-2.8046,42.9727,0.0000,3.1028,5.9600,0.0000,0.0000,0.0000
-5.2230,43.0665,0.0000,3.0978,6.0000,0.0000,0.0000,0.0000
-7.6507,43.1729,0.0000,3.1054,6.0200,0.0000,0.0000,0.0000
-10.0825,43.2610,0.0000,3.1059,6.0500,0.0000,0.0000,0.0000
-12.5212,43.3481,0.0000,3.0978,6.0800,0.0000,0.0000,0.0000
-14.9899,43.4562,0.0000,3.1040,6.1000,0.0000,0.0000,0.0000
-17.4611,43.5490,0.0000,3.1021,6.1400,0.0000,0.0000,0.0000
-19.9611,43.6477,0.0000,3.1086,6.1700,0.0000,0.0000,0.0000
-22.4554,43.7301,0.0000,3.1107,6.1800,0.0000,0.0000,0.0000
-24.9529,43.8073,0.0000,3.1123,6.2200,0.0000,0.0000,0.0000
-27.4855,43.8814,0.0000,3.1123,6.2300,0.0000,0.0000,0.0000
-30.0034,43.9553,0.0000,3.1139,6.2600,0.0000,0.0000,0.0000
-32.5360,44.0255,0.0000,3.1158,6.2700,0.0000,0.0000,0.0000
-35.0848,44.0912,0.0000,3.1150,6.3000,0.0000,0.0000,0.0000
-37.6290,44.1589,0.0000,3.1123,6.3200,0.0000,0.0000,0.0000
-40.1944,44.2340,0.0000,3.1104,6.3100,0.0000,0.0000,0.0000
-42.7541,44.3139,0.0000,3.1084,6.3400,0.0000,0.0000,0.0000
-45.3191,44.3990,0.0000,3.1043,6.3600,0.0000,0.0000,0.0000
-47.8958,44.4952,0.0000,3.1060,6.3800,0.0000,0.0000,0.0000
-50.4780,44.5872,0.0000,3.1060,6.3800,0.0000,0.0000,0.0000
-53.0689,44.6794,0.0000,3.1059,6.4000,0.0000,0.0000,0.0000
-55.6638,44.7722,0.0000,3.1032,6.4200,0.0000,0.0000,0.0000
-58.2779,44.8725,0.0000,3.1038,6.4500,0.0000,0.0000,0.0000
-60.8809,44.9708,0.0000,3.1005,6.4700,0.0000,0.0000,0.0000
-63.5042,45.0787,0.0000,3.1033,6.4800,0.0000,0.0000,0.0000
-66.1303,45.1794,0.0000,3.0991,6.5000,0.0000,0.0000,0.0000
-68.7666,45.2915,0.0000,3.0975,6.5200,0.0000,0.0000,0.0000
-71.4039,45.4078,0.0000,3.1025,6.5300,0.0000,0.0000,0.0000
-74.0417,45.5110,0.0000,3.0978,6.5300,0.0000,0.0000,0.0000
-76.6938,45.6271,0.0000,3.0972,6.5600,0.0000,0.0000,0.0000
-79.3486,45.7449,0.0000,3.1028,6.5500,0.0000,0.0000,0.0000
-82.0036,45.8480,0.0000,3.0991,6.5600,0.0000,0.0000,0.0000
-84.6658,45.9612,0.0000,3.1038,6.5900,0.0000,0.0000,0.0000
-87.3297,46.0620,0.0000,3.1001,6.5900,0.0000,0.0000,0.0000
-89.9973,46.1728,0.0000,3.1012,6.6000,0.0000,0.0000,0.0000
-92.6829,46.2815,0.0000,3.1031,6.6100,0.0000,0.0000,0.0000
-95.3618,46.3846,0.0000,3.1026,6.6200,0.0000,0.0000,0.0000
-98.0443,46.4891,0.0000,3.0984,6.6500,0.0000,0.0000,0.0000
-100.7417,46.6058,0.0000,3.0968,6.6500,0.0000,0.0000,0.0000
-103.4369,46.7265,0.0000,3.0996,6.6700,0.0000,0.0000,0.0000
-106.1338,46.8399,0.0000,3.0894,6.6900,0.0000,0.0000,0.0000
