x,y,time,steering_angle,speed_mps,cur_lat_dist_abs,trg_way_lon_dist
0.0000,2.0000,6.0000,0.0000,0.0000,0.0000,3.7659
0.0761,2.0001,6.5000,0.0024,2.2322,0.0409,3.7250
0.4836,2.0012,7.0000,0.0022,2.2322,0.4396,3.3263
0.8885,2.0026,7.5000,0.0015,2.8455,0.1099,3.8759
1.2745,2.0042,8.0000,0.0013,2.8455,0.2801,3.4859
1.5965,2.0056,8.5000,0.0009,3.2652,0.3344,4.1007
2.0305,2.0077,9.0000,0.0007,3.2652,0.0996,4.6083
2.4415,2.0096,9.5002,0.0008,3.6995,0.4488,4.2152
2.8735,2.0114,10.0000,0.0007,3.6995,0.0158,4.7240
3.3036,2.0131,10.5004,0.0008,3.6995,0.4043,4.3040
3.6906,2.0146,11.0000,0.0008,4.0112,0.1354,4.8438
4.0846,2.0161,11.5000,0.0009,4.0112,0.2697,4.4388
4.5076,2.0177,12.0000,0.0008,4.4884,0.2669,4.9758
4.9446,2.0194,12.5004,0.0010,4.4884,0.1872,4.5218
5.3365,2.0208,13.0000,0.0008,4.7998,0.3696,5.0789
5.7165,2.0224,13.5006,0.0009,4.7998,0.0179,4.6919
6.1415,2.0243,14.0000,0.0008,4.7998,0.4274,5.2238
6.5455,2.0259,14.5000,0.0010,4.7998,0.1003,4.8098
6.9615,2.0277,15.0000,0.0009,4.7998,0.3038,5.3473
7.3065,2.0291,15.5000,0.0010,4.7998,0.2941,5.0033
7.6665,2.0305,16.0000,0.0011,4.7998,0.0842,4.6253
8.0704,2.0324,16.5000,0.0008,4.7998,0.4640,5.1722
8.4294,2.0343,17.0002,0.0009,4.7998,0.0832,4.7912
8.8204,2.0363,17.5002,0.0008,4.7998,0.2822,5.3659
9.2234,2.0383,18.0000,0.0009,4.7998,0.2560,4.9619
9.6264,2.0403,18.5000,0.0011,4.7998,0.1612,4.5449
10.0044,2.0421,19.0000,0.0009,4.7998,0.4120,5.1141
10.4054,2.0444,19.5000,0.0010,4.7998,0.0115,4.7111
10.8134,2.0466,20.0000,0.0009,4.7998,0.4011,5.2384
11.2464,2.0489,20.5000,0.0010,4.7997,0.1281,4.8254
11.6583,2.0511,21.0015,0.0003,4.7997,0.2992,5.3516
12.0933,2.0537,21.5001,0.0003,4.7996,0.2256,4.9346
12.5003,2.0561,22.0000,0.0004,4.7996,0.1997,4.5096
12.9473,2.0587,22.5002,-0.0078,4.7994,0.3003,5.0124
13.3207,2.0613,23.0000,-0.0083,4.7994,0.0904,4.6221
13.7370,2.0623,23.5000,-0.0460,4.7993,0.4413,4.9904
14.1594,2.0629,24.0002,-0.0486,4.7993,0.0309,4.5815
